"cycle.number"	"Ns"	"time.s"	"X.I..mA"	"Ecell.V"	"Q.discharge.mA.h"	"Q.charge.mA.h"	"dq.mA.h"	"X.Q.Qo..mA.h"	"Capacity.mA.h"	"Energy.charge.W.h"	"Energy.discharge.W.h"	"X"
0	0	2190,00010401942	0	2,097213	0	0	0	0	0	0	0	NA
0	0	2220,00010544434	0	2,0976853	0	0	0	0	0	0	0	NA
0	0	2250,00010686926	0	2,0981972	0	0	0	0	0	0	0	NA
0	0	2280,00010829419	0	2,0987875	0	0	0	0	0	0	0	NA
0	0	2310,00010971911	0	2,0992599	0	0	0	0	0	0	0	NA
0	0	2340,00011114404	0	2,0996141	0	0	0	0	0	0	0	NA
0	0	2370,00011256896	0	2,1000471	0	0	0	0	0	0	0	NA
0	0	2400,00011399388	0	2,1005197	0	0	0	0	0	0	0	NA
0	0	2430,00011541881	0	2,10111	0	0	0	0	0	0	0	NA
0	0	2460,00011684373	0	2,1013463	0	0	0	0	0	0	0	NA
0	0	2490,00011826865	0	2,1018579	0	0	0	0	0	0	0	NA
0	0	2520,00011969358	0	2,1024878	0	0	0	0	0	0	0	NA
0	0	2550,0001211185	0	2,1028814	0	0	0	0	0	0	0	NA
0	0	2580,00012254342	0	2,1033931	0	0	0	0	0	0	0	NA
0	0	2610,00012396835	0	2,1037474	0	0	0	0	0	0	0	NA
0	0	2640,00012539327	0	2,1040623	0	0	0	0	0	0	0	NA
0	0	2670,00012681819	0	2,104692	0	0	0	0	0	0	0	NA
0	0	2700,00012824312	0	2,1051252	0	0	0	0	0	0	0	NA
0	0	2730,00012966804	0	2,1056368	0	0	0	0	0	0	0	NA
0	0	2760,00013109297	0	2,1060305	0	0	0	0	0	0	0	NA
0	0	2790,00013251789	0	2,1065814	0	0	0	0	0	0	0	NA
0	0	2820,00013394281	0	2,107172	0	0	0	0	0	0	0	NA
0	0	2850,00013536774	0	2,1076837	0	0	0	0	0	0	0	NA
0	0	2880,00013679266	0	2,1079986	0	0	0	0	0	0	0	NA
0	0	2910,00013821758	0	2,1083529	0	0	0	0	0	0	0	NA
0	0	2940,00013964251	0	2,1088252	0	0	0	0	0	0	0	NA
0	0	2970,00014106743	0	2,1092188	0	0	0	0	0	0	0	NA
0	0	3000,00014249235	0	2,1097305	0	0	0	0	0	0	0	NA
0	0	3030,00014391728	0	2,1102424	0	0	0	0	0	0	0	NA
0	0	3060,0001453422	0	2,110636	0	0	0	0	0	0	0	NA
0	0	3090,00014676712	0	2,111069	0	0	0	0	0	0	0	NA
0	0	3120,00014819205	0	2,1115806	0	0	0	0	0	0	0	NA
0	0	3150,00014961697	0	2,1120925	0	0	0	0	0	0	0	NA
0	0	3180,0001510419	0	2,1126041	0	0	0	0	0	0	0	NA
0	0	3210,00015246682	0	2,1131551	0	0	0	0	0	0	0	NA
0	0	3240,00015389174	0	2,1136277	0	0	0	0	0	0	0	NA
0	0	3270,00015531667	0	2,1139424	0	0	0	0	0	0	0	NA
0	0	3300,00015674159	0	2,1142967	0	0	0	0	0	0	0	NA
0	0	3330,00015816651	0	2,1146903	0	0	0	0	0	0	0	NA
0	0	3360,00015959144	0	2,1153202	0	0	0	0	0	0	0	NA
0	0	3390,00016101636	0	2,1155169	0	0	0	0	0	0	0	NA
0	0	3420,00016244128	0	2,1161861	0	0	0	0	0	0	0	NA
0	0	3450,00016386621	0	2,1166584	0	0	0	0	0	0	0	NA
0	0	3480,00016529113	0	2,116816	0	0	0	0	0	0	0	NA
0	0	3510,00016671605	0	2,1172884	0	0	0	0	0	0	0	NA
0	0	3540,00016814098	0	2,1178	0	0	0	0	0	0	0	NA
0	0	3570,0001695659	0	2,1180756	0	0	0	0	0	0	0	NA
0	0	3600,00017099083	0	2,1185086	0	0	0	0	0	0	0	NA
0	0	3630,00017241575	0	2,1190598	0	0	0	0	0	0	0	NA
0	0	3660,00017384067	0	2,1194141	0	0	0	0	0	0	0	NA
0	0	3690,00017526559	0	2,1198864	0	0	0	0	0	0	0	NA
0	0	3720,00017669052	0	2,1203194	0	0	0	0	0	0	0	NA
0	0	3750,00017811544	0	2,1206343	0	0	0	0	0	0	0	NA
0	0	3780,00017954037	0	2,1211066	0	0	0	0	0	0	0	NA
0	0	3810,00018096529	0	2,1215789	0	0	0	0	0	0	0	NA
0	0	3840,00018239021	0	2,1218939	0	0	0	0	0	0	0	NA
0	0	3870,00018381514	0	2,1223662	0	0	0	0	0	0	0	NA
0	0	3900,00018524006	0	2,1227598	0	0	0	0	0	0	0	NA
0	0	3930,00018666498	0	2,1231141	0	0	0	0	0	0	0	NA
0	0	3960,00018808991	0	2,1235471	0	0	0	0	0	0	0	NA
0	0	3990,00018951483	0	2,123862	0	0	0	0	0	0	0	NA
0	0	4020,00019093975	0	2,1242557	0	0	0	0	0	0	0	NA
0	0	4050,00019236468	0	2,1246099	0	0	0	0	0	0	0	NA
0	0	4080,0001937896	0	2,1250823	0	0	0	0	0	0	0	NA
0	0	4110,00019521452	0	2,1254759	0	0	0	0	0	0	0	NA
0	0	4140,00019663945	0	2,1257515	0	0	0	0	0	0	0	NA
0	0	4170,00019806437	0	2,1262238	0	0	0	0	0	0	0	NA
0	0	4200,00019948929	0	2,1266174	0	0	0	0	0	0	0	NA
0	0	4230,00020091422	0	2,1269717	0	0	0	0	0	0	0	NA
0	0	4260,00020233914	0	2,127444	0	0	0	0	0	0	0	NA
0	0	4290,00020376407	0	2,1278772	0	0	0	0	0	0	0	NA
0	0	4320,00020518899	0	2,1281919	0	0	0	0	0	0	0	NA
0	0	4350,00020661391	0	2,1285856	0	0	0	0	0	0	0	NA
0	0	4380,00020803884	0	2,1288612	0	0	0	0	0	0	0	NA
0	0	4410,00020946376	0	2,1294124	0	0	0	0	0	0	0	NA
0	0	4440,00021088868	0	2,1296878	0	0	0	0	0	0	0	NA
0	0	4470,00021231361	0	2,1303177	0	0	0	0	0	0	0	NA
0	0	4500,00021373853	0	2,130357	0	0	0	0	0	0	0	NA
0	0	4530,00021516345	0	2,1308293	0	0	0	0	0	0	0	NA
0	0	4560,00021658838	0	2,1312623	0	0	0	0	0	0	0	NA
0	0	4590,0002180133	0	2,1315773	0	0	0	0	0	0	0	NA
0	0	4620,00021943823	0	2,1318135	0	0	0	0	0	0	0	NA
0	0	4650,00022086315	0	2,1322072	0	0	0	0	0	0	0	NA
0	0	4680,00022228807	0	2,1327188	0	0	0	0	0	0	0	NA
0	0	4710,000223713	0	2,1330731	0	0	0	0	0	0	0	NA
0	0	4740,00022513792	0	2,1333094	0	0	0	0	0	0	0	NA
0	0	4770,00022656284	0	2,1336637	0	0	0	0	0	0	0	NA
0	0	4800,00022798777	0	2,1340573	0	0	0	0	0	0	0	NA
0	0	4830,00022941269	0	2,1344113	0	0	0	0	0	0	0	NA
0	0	4860,00023083761	0	2,1347656	0	0	0	0	0	0	0	NA
0	0	4890,00023226254	0	2,1348839	0	0	0	0	0	0	0	NA
0	0	4920,00023368746	0	2,1353955	0	0	0	0	0	0	0	NA
0	0	4950,00023511238	0	2,1356711	0	0	0	0	0	0	0	NA
0	0	4980,00023653731	0	2,1360648	0	0	0	0	0	0	0	NA
0	0	5010,00023796223	0	2,1364977	0	0	0	0	0	0	0	NA
0	0	5040,00023938715	0	2,1367733	0	0	0	0	0	0	0	NA
0	0	5070,00024081208	0	2,1370487	0	0	0	0	0	0	0	NA
0	0	5100,000242237	0	2,1375606	0	0	0	0	0	0	0	NA
0	0	5130,00024366193	0	2,137836	0	0	0	0	0	0	0	NA
0	0	5160,00024508685	0	2,1381509	0	0	0	0	0	0	0	NA
0	0	5190,00024651177	0	2,1385052	0	0	0	0	0	0	0	NA
0	0	5220,0002479367	0	2,1387808	0	0	0	0	0	0	0	NA
0	0	5250,00024936162	0	2,1390564	0	0	0	0	0	0	0	NA
0	0	5280,00025078654	0	2,1394105	0	0	0	0	0	0	0	NA
0	0	5310,00025221147	0	2,1398437	0	0	0	0	0	0	0	NA
0	0	5340,00025363639	0	2,1401584	0	0	0	0	0	0	0	NA
0	0	5370,00025506131	0	2,1403947	0	0	0	0	0	0	0	NA
0	0	5400,00025648624	0	2,1408277	0	0	0	0	0	0	0	NA
0	0	5430,00025791116	0	2,1411426	0	0	0	0	0	0	0	NA
0	0	5460,00025933608	0	2,1412606	0	0	0	0	0	0	0	NA
0	0	5490,00026076101	0	2,1417329	0	0	0	0	0	0	0	NA
0	0	5520,00026218593	0	2,1419692	0	0	0	0	0	0	0	NA
0	0	5550,00026361085	0	2,1421661	0	0	0	0	0	0	0	NA
0	0	5580,00026503578	0	2,1425598	0	0	0	0	0	0	0	NA
0	0	5610,0002664607	0	2,1430321	0	0	0	0	0	0	0	NA
0	0	5640,00026788563	0	2,1433077	0	0	0	0	0	0	0	NA
0	0	5670,00026931055	0	2,1435044	0	0	0	0	0	0	0	NA
0	0	5700,00027073547	0	2,14378	0	0	0	0	0	0	0	NA
0	0	5730,0002721604	0	2,144213	0	0	0	0	0	0	0	NA
