cycle number	Ns	time/s	<I>/mA	Ecell/V	Q discharge/mA.h	Q charge/mA.h	dq/mA.h	(Q-Qo)/mA.h	Capacity/mA.h	Energy charge/W.h	Energy discharge/W.h	
0,000000000000000E+000	0	6,600000313483179E+003	0,000000000000000E+000	2,1842430E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
0,000000000000000E+000	0	6,900000327732414E+003	0,000000000000000E+000	2,1853061E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
0,000000000000000E+000	0	7,200000341981649E+003	0,000000000000000E+000	2,1863298E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
0,000000000000000E+000	1	7,210034342458239E+003	-1,790578926103882E-005	2,1710138E+000	4,990741610527038E-008	0,000000000000000E+000	-4,990741610527038E-008	-4,990741610527038E-008	4,990741610527038E-008	0,000000000000000E+000	1,083496906885273E-010
0,000000000000000E+000	1	7,210060342459474E+003	-9,003933607270512E-002	2,1558161E+000	7,001915408505333E-007	0,000000000000000E+000	-6,502841247452629E-007	-7,001915408505334E-007	7,001915408505333E-007	0,000000000000000E+000	1,510242662203499E-009
0,000000000000000E+000	1	7,210120342462324E+003	-9,000399380592908E-002	2,1404216E+000	2,200258175532023E-006	0,000000000000000E+000	-1,500066634681490E-006	-2,200258175532023E-006	2,200258175532023E-006	0,000000000000000E+000	4,721017731945037E-009
0,000000000000000E+000	1	7,210186342465458E+003	-8,998668940434180E-002	2,1249876E+000	3,850014226304160E-006	0,000000000000000E+000	-1,649756050772137E-006	-3,850014226304160E-006	3,850014226304160E-006	0,000000000000000E+000	8,226728886546168E-009
0,000000000000000E+000	1	7,210254342468688E+003	-9,001113704243260E-002	2,1099865E+000	5,550224673416880E-006	0,000000000000000E+000	-1,700210447112719E-006	-5,550224673416880E-006	5,550224673416880E-006	0,000000000000000E+000	1,181415005133633E-008
0,000000000000000E+000	1	7,210324342472013E+003	-8,998692906789832E-002	2,0948677E+000	7,299970599512259E-006	0,000000000000000E+000	-1,749745926095380E-006	-7,299970599512259E-006	7,299970599512259E-006	0,000000000000000E+000	1,547963628614147E-008
0,000000000000000E+000	1	7,210396342475433E+003	-9,002970124660754E-002	2,0797486E+000	9,100564709968038E-006	0,000000000000000E+000	-1,800594110455778E-006	-9,100564709968038E-006	9,100564709968038E-006	0,000000000000000E+000	1,922441942149089E-008
0,000000000000000E+000	1	7,210470342478948E+003	-9,003344092887844E-002	2,0644722E+000	1,095125219474236E-005	0,000000000000000E+000	-1,850687484774325E-006	-1,095125219474236E-005	1,095125219474236E-005	0,000000000000000E+000	2,304511228189407E-008
0,000000000000000E+000	1	7,210548342482653E+003	-9,001409140539600E-002	2,0489595E+000	1,290155760116047E-005	0,000000000000000E+000	-1,950305406418112E-006	-1,290155760116047E-005	1,290155760116047E-005	0,000000000000000E+000	2,704120905986619E-008
0,000000000000000E+000	1	7,210626342486357E+003	-9,001964571744693E-002	2,0337615E+000	1,485198335101207E-005	0,000000000000000E+000	-1,950425749851598E-006	-1,485198335101207E-005	1,485198335101207E-005	0,000000000000000E+000	3,100790986108246E-008
0,000000000000000E+000	1	7,210706342490157E+003	-9,000415765660626E-002	2,0186033E+000	1,685207583838039E-005	0,000000000000000E+000	-2,000092487368319E-006	-1,685207583838039E-005	1,685207583838039E-005	0,000000000000000E+000	3,504530320617193E-008
0,000000000000000E+000	1	7,210790342494147E+003	-9,003165415603925E-002	2,0032873E+000	1,895281453513437E-005	0,000000000000000E+000	-2,100738696753979E-006	-1,895281453513437E-005	1,895281453513437E-005	0,000000000000000E+000	3,925368639028325E-008
0,000000000000000E+000	1	7,210874342498137E+003	-9,001899615239065E-002	1,9882078E+000	2,105325787845585E-005	0,000000000000000E+000	-2,100443343321483E-006	-2,105325787845585E-005	2,105325787845585E-005	0,000000000000000E+000	4,342980426480370E-008
0,000000000000000E+000	1	7,210960342502221E+003	-8,998124982969184E-002	1,9731282E+000	2,320281005981896E-005	0,000000000000000E+000	-2,149552181363106E-006	-2,320281005981896E-005	2,320281005981896E-005	0,000000000000000E+000	4,767114629031421E-008
0,000000000000000E+000	1	7,211050342506496E+003	-9,002149720574136E-002	1,9581273E+000	2,545334759685728E-005	0,000000000000000E+000	-2,250537537038326E-006	-2,545334759685728E-005	2,545334759685728E-005	0,000000000000000E+000	5,207798519171062E-008
0,000000000000000E+000	1	7,211144342510961E+003	-9,003653203280748E-002	1,9428507E+000	2,780430160048935E-005	0,000000000000000E+000	-2,350954003632069E-006	-2,780430160048935E-005	2,780430160048935E-005	0,000000000000000E+000	5,664553784440303E-008
0,000000000000000E+000	1	7,211240342515521E+003	-9,001712104534745E-002	1,9276136E+000	3,020475827571419E-005	0,000000000000000E+000	-2,400456675224834E-006	-3,020475827571419E-005	3,020475827571419E-005	0,000000000000000E+000	6,127269081615976E-008
