"CycNr"	"time.s.ch"	"time.s.dc"	"Qch.mAh"	"Qdc.mAh"	"Qch.mAh.g"	"Qdc.mAh.g"	"CE"	"Ewe.endCH"	"Ewe.endDC"	"Edrop.ch"	"Edrop.dc"
1	86897.4401870903	153142.214710794	2.08800251311163	1.73370017688383	308.260502415536	255.953373718732	0.830315177303209	0.02503787	1.2000921	2.03569783	-0.8133263
2	222449.383940094	287228.188697049	1.81243329598464	1.69528184443674	267.577071821752	250.281515381522	0.935362337578192	0.0251166	1.1999739	1.037197	0.0160609
3	320529.570170653	352236.319477924	1.73330522239072	1.65942841496064	255.895064942898	244.988324346444	0.957378073708113	0.025234696	1.1999739	1.032788004	0.0153523
4	385188.690915124	416754.166207659	1.71469373574727	1.65199735529351	253.147373698571	243.891246075664	0.963435814135965	0.0251166	1.2000527	0.9760233	0.0283036000000001
5	449567.717630378	481054.280914682	1.70732099704913	1.64787628363897	252.058905595206	243.282835113157	0.965182462165637	0.025155965	1.2000527	0.977597935	0.0297995
6	513768.796327072	545213.86960705	1.7022438637931	1.64521797088977	251.309347278822	242.890377336646	0.966499574992587	0.02519533	1.2000527	0.98007787	0.029091
7	577823.117008459	609249.602286495	1.69684466077091	1.64445747041831	250.512240462229	242.778101486426	0.969126702305914	0.025667714	1.2000527	0.978306486	0.0316103000000001
8	641805.925682385	673187.350955721	1.69410793065922	1.64212241716069	250.108205604078	242.433367854239	0.969313930619343	0.025549619	1.1998559	0.972322971	0.0424357
9	705626.622339401	736944.557606116	1.68797967223668	1.63875856514945	249.203465304005	241.936748379634	0.970840225213134	0.025628349	1.1999739	0.970748341	0.0433805
10	769297.840980826	800614.192247375	1.68349692224233	1.63854931607779	248.54165826269	241.905856068176	0.973301046428602	0.025549619	1.1999346	0.971102631	0.0431443
11	832927.861617953	864255.704885701	1.68144796402541	1.6390936434103	248.239162032245	241.986217378062	0.974810805019673	0.025510253	1.2000134	0.970354677	0.0444435000000001
12	896537.506252955	927805.69151448	1.67960379919614	1.6359646573653	247.96690030208	241.524272143692	0.974018192950191	0.025628349	1.1999739	0.967402261	0.0450338000000001
13	960004.140873039	991286.196136012	1.67542514544588	1.63695107741927	247.349988255094	241.669901442278	0.977036235769059	0.025549619	1.1999346	0.971456921	0.0400738999999999
14	1023450.92549105	1054684.47283999	1.67340642446911	1.63443114629923	247.051956074276	241.297873521699	0.976709018442878	0.025510253	1.2000527	0.976377547	0.0366884000000001
15	1086771.21666502	1117932.07237967	1.66922602610874	1.63048746407641	246.434786463238	240.715651299389	0.976792500580262	0.025313426	1.1999739	0.973976264	0.0391684000000001
16	1149954.79819707	1181101.48191004	1.66646008848647	1.629713303039	246.026439578721	240.601358682956	0.977949195602491	0.025155965	1.2000921	0.926777295	0.0695585000000001
17	1213058.78971963	1244145.35742544	1.66284229369137	1.62665653143436	245.492329473886	240.150074767013	0.97823860843912	0.025274061	1.1999346	0.976653039	0.0376331999999999
18	1276021.95922542	1307065.27692606	1.65812317037849	1.62441527177694	244.795625655642	239.819188274443	0.979671052667423	0.025392156	1.2000134	0.977361744	0.0373577
19	1338884.21271917	1369901.04041665	1.65490442163127	1.62309389271957	244.320428379903	239.624107583903	0.980778026515668	0.025274061	1.2000921	0.974055029	0.0381450000000001
20	1401696.12820691	1432659.38389801	1.65366373196843	1.6202826313276	244.137260200551	239.209069362604	0.97981385211787	0.025313426	1.2000134	0.977282974	0.0383812000000001
21	1464347.08567547	1495206.87735424	1.64768198713087	1.61465705373467	243.254150310898	238.378541925839	0.979956730938288	0.025352791	1.2000134	0.973936899	0.0403100999999999
22	1526815.48512228	1557653.22879841	1.64340480822192	1.61347337027065	242.622692584619	238.20378980891	0.981786935390767	0.025431523	1.1999739	0.972204857	0.0415303
23	1589192.29455815	1619930.97022248	1.63936310684591	1.60826767974144	242.025999386714	237.43525204716	0.981032007506685	0.025431523	1.1999739	0.972008037	0.0420026
24	1651356.10196864	1682015.09362347	1.63305676016096	1.60411158241357	241.094967175162	236.821670098704	0.982275461298395	0.025470888	1.1999739	0.969606722	0.0434591
25	1713363.13136044	1743910.93700201	1.62835794822485	1.59828187088447	240.401262010017	235.961005519225	0.981529812058112	0.025352791	1.2000134	0.969213109	0.0435774
26	1775136.99672444	1805573.8543528	1.62175013465571	1.59242943019071	239.425722987482	235.096985338556	0.981920331721616	0.025392156	1.2000921	0.968937534	0.0431049999999999
27	1836680.52006099	1866986.42367373	1.61540801233707	1.58554207786457	238.48940907021	234.080176845733	0.981511832153604	0.025274061	1.2000527	0.967205439	0.0451126000000002
28	1897967.0313669	1928149.28096489	1.60849884119991	1.57907974754625	237.469379375494	233.126116121097	0.981710217688616	0.02519533	1.2000527	0.96795341	0.0466085000000001
29	1958967.31863868	1988962.01421432	1.59884870196269	1.56926107715476	236.044689150763	231.676544940542	0.981494418595325	0.025234696	1.2000921	0.966969254	0.0462541999999999
30	2019362.58983835	2048594.29132303	1.55645638880274	1.52943683413009	229.786135499039	225.797126172598	0.982640339384366	0.025313426	1.2000527	0.955592704	0.0535762000000002
32	2070259.93190577	2110880.8158589	1.13456140040168	1.52341538634858	167.500022204426	224.908154772065	1.34273507437256	0.12514383	1.200053	0.85052669	0.96526075
33	2080539.97841779	2171553.27483967	0.477668521522081	1.5017628236197	70.5201921491225	221.711496806629	3.14394345860255	0.020644207	1.1998955	0.185799713	0.0562636000000001
34	2141638.81333523	2231519.83546824	1.52352579481326	1.48452589505633	224.924454833286	219.166737293324	0.974401549425876	0.020644207	1.200053	0.994239093	0.0548067000000001
35	2201950.81838395	2290839.56565577	1.50583446719229	1.46796434866196	222.312610495651	216.721687260937	0.974851074699505	0.020644207	1.1999743	0.996325793	0.0551611000000001
36	2261596.7126055	2349528.41377749	1.49008535271391	1.45239583095074	219.987503168806	214.423242186571	0.974706467858015	0.020644207	1.2000136	0.995656493	0.0533499
37	2320598.8387599	2407626.66583761	1.47458828247056	1.4385886351591	217.699606181525	212.384828398775	0.975586644937158	0.020644207	1.2000136	0.995498993	0.0545704999999999
38	2378972.54684875	2465100.21583257	1.45838510169087	1.4230726821236	215.307463156547	210.094143666288	0.975786628973151	0.020644207	1.2000924	0.993294093	0.0543737
39	2436758.19287626	2521936.001761	1.44274842725204	1.4075815568166	212.998955820778	207.807124354706	0.975625084892713	0.020801697	1.2000924	0.992624703	0.0541768999999999
40	2493904.89083713	2578101.95161956	1.42672010981585	1.39192353523379	210.632628599077	205.495465451213	0.975610791252847	0.020683579	1.1999743	0.987309421	0.0544524
41	2550378.59672779	2633731.41742217	1.40892082723592	1.37887223590522	208.004846421484	203.568647804712	0.978672618964935	0.020683579	1.200053	0.988726921	0.0555154
