"CycNr"	"time.s.ch"	"time.s.dc"	"Qch.mAh"	"Qdc.mAh"	"Qch.mAh.g"	"Qdc.mAh.g"	"CE"	"Ewe.endCH"	"Ewe.endDC"	"Edrop.ch"	"Edrop.dc"
15	1057260.88314712	1086769.99666487	1.72533933413404	1.70819133490487	230.183354563944	227.895582003185	0.990061086019478	0.025202112	1.2000029	0.801124018	0.0509756000000001
16	1117258.20429934	1145953.93772013	1.7207312617733	1.66102538198378	229.568576048736	221.603012738814	0.965302031109733	0.025162749	1.1172217	0.807067941	-0.0381431999999999
17	1175557.41324913	1204831.57273887	1.66966186637405	1.69436371107345	222.755235324401	226.050791951631	1.01479451929572	0.025202112	1.2000424	0.615840478	0.31199441
18	1235124.07635002	1264345.20983344	1.70885091044633	1.69137656395493	227.983578206435	225.652266553923	0.989774212375943	0.025202112	1.2000424	0.802029418	0.0511725000000001
19	1294526.94543138	1323639.13890181	1.70231294848619	1.68505714712179	227.111326594115	224.809171785977	0.989863320149362	0.025202112	1.2000029	0.803722008	0.0464094000000002
20	1353655.38648003	1382599.60993044	1.69256818550767	1.67533019768145	225.811244814578	223.511466570802	0.989815483964654	0.025241476	1.2000817	0.802108124	0.047866
21	1410260.05522781	1437827.72651413	1.61090580576251	1.59558842194212	214.916390602696	212.872846633596	0.990491446634808	0.025320204	1.1999636	0.800533566	0.0449923999999999
22	1467570.45405973	1496255.64547926	1.6768529524233	1.66041651572005	223.714622429898	221.521781831772	0.99019804528507	0.025084022	1.200121	0.797502578	0.0501096000000001
23	1525898.855013	1554474.34241946	1.67100989588503	1.65402184005781	222.935080499637	220.668646528959	0.989833659352315	0.025241476	1.2001604	0.792818384	0.0526289
24	1583996.97993882	1612471.79733328	1.66376213870475	1.64817643000485	221.968132706924	219.888790608345	0.990632249444002	0.025162749	1.1999636	0.793487561	0.0515266999999999
25	1641898.73084124	1670277.0922242	1.65788307495882	1.64261008046046	221.183786933336	219.146165093784	0.990787652803115	0.025320204	1.2000424	0.794196096	0.0498342000000001
26	1699627.37972302	1727913.63309499	1.65289083932402	1.637253564737	220.517755896741	218.431534218798	0.990539439014971	0.025162749	1.1999242	0.793684371	0.0516054000000001
27	1757155.57058089	1785338.9379406	1.64645262404137	1.63130616876637	219.658811825945	217.638072012057	0.990800552014778	0.025084022	1.1999636	0.792936438	0.0501096999999999
28	1814480.1554145	1842557.46676157	1.64042304639831	1.62514656609173	218.854385484399	216.816298591386	0.990687475197254	0.025202112	1.2000817	0.793605608	0.0471967
29	1871547.9062175	1899481.2315474	1.63188695611097	1.61679825525125	217.715556815552	215.702522213495	0.99075383205729	0.025123386	1.2000029	0.792267294	0.0455041
30	1928311.71898426	1956107.59629778	1.62298274242012	1.60880757222338	216.527615558685	214.636458171353	0.991265976016724	0.025084022	1.1999242	0.792582148	0.0472754000000002
31	1984786.46571656	2012430.40501196	1.6145626426444	1.59999869930583	215.404261576199	213.461236649434	0.990979635627691	0.025044659	1.2000424	0.792070471	0.0478267000000001
32	2041008.04241868	2068553.68770236	1.60847761683031	1.59429163031218	214.592437706665	212.699837277324	0.991180488699566	0.025044659	1.1999242	0.788606481	0.0473149000000002
34	2070428.68792588	2129283.01274077	0.105559403920795	1.52065302983122	14.0830370116463	202.875462588382	14.4056613939599	0.22721511	1.2001282	0.58844358	0.77669311
35	2099037.37530418	2190779.7138141	1.40978708921066	1.53683406977303	188.084462572298	205.034229840975	1.0901178493793	0.020894889	1.1999314	0.383444751	0.0486245000000001
36	2160207.27027657	2252171.14162396	1.54071303488196	1.53432359175987	205.551735692343	204.699298480404	0.995852931092662	0.0207374	1.1999707	0.87004436	0.0490968999999999
37	2221645.30443987	2313379.13200845	1.53743558483324	1.52963322206985	205.114479999098	204.07354040022	0.994925079892543	0.020855516	1.1999314	0.868469504	0.0496088000000001
38	2282939.42083334	2374278.90436079	1.53286246345081	1.52236579604113	204.504364412089	203.103968519929	0.993152244470747	0.020776773	1.1999707	0.868666327	0.0481125999999998
39	2343993.27920175	2434856.85667956	1.52514477023246	1.51481306034467	203.474720863513	202.09633251213	0.993225751358531	0.020816145	1.1999707	0.868587615	0.0480338999999999
40	2404725.41553661	2495098.89296329	1.51658867699265	1.50636895792733	202.33322353314	200.969776256064	0.99326137718133	0.020855516	1.1999314	0.867603274	0.0471678
41	2465133.59783767	2554992.16121065	1.50794865508025	1.49770847493805	201.180528994764	199.814351936235	0.9932091983983	0.020894889	1.1999314	0.866697721	0.0479553000000001
42	2525199.36610302	2614590.43542723	1.49909637590393	1.49012093694093	199.999516497089	198.802072835826	0.994012767219461	0.020776773	1.1999707	0.866028407	0.0483882
43	2584934.95433392	2673873.1976109	1.49171019022572	1.48172116045665	199.01410049039	197.681430252371	0.993303639115344	0.020776773	1.1999314	0.866107137	0.0483489000000001
44	2644383.46053489	2732759.64575324	1.48478185708494	1.47207972130337	198.089768138875	196.395133253735	0.991445116519333	0.020698028	1.2000101	0.865831532	0.0489788
45	2703462.66069733	2771937.66383982	1.47437874031512	0.490686035543986	196.701853153908	65.4640831891116	0.332808675360519	0.020698028	0.35579386	0.865044102	-0.79602474
