"CycNr"	"time.s.ch"	"time.s.dc"	"Qch.mAh"	"Qdc.mAh"	"Qch.mAh.g"	"Qdc.mAh.g"	"CE"	"Ewe.endCH"	"Ewe.endDC"	"Edrop.ch"	"Edrop.dc"
12	887260.02928528	918522.022546159	1.82939354476096	1.80608590547799	242.223574281491	239.137491622375	0.987259362891206	0.025232488	1.2000231	0.813985952	0.0392581999999999
13	951074.209941616	982324.243201248	1.82777260046779	1.80549812602251	242.008950740522	239.059665809005	0.987813322926726	0.025271865	1.1999837	0.816506055	0.0407544
14	1014837.0445926	1046074.57185092	1.82670372880985	1.80460064215425	241.867425198259	238.940833122046	0.987900015581618	0.025114359	1.2000624	0.817490461	0.0413844999999999
15	1078531.55368282	1109755.15340495	1.8249237309731	1.80401343546799	241.631741936193	238.863083147036	0.988541824981387	0.025232488	1.2000231	0.816348502	0.0419752
16	1142175.48526975	1173384.01499009	1.82377764577764	1.80295537105777	241.479992820608	238.722988554488	0.988582887410602	0.025271865	1.1999443	0.818750465	0.0411482000000001
17	1205750.56284847	1236938.09456631	1.82155065501084	1.80199954126644	241.18512479455	238.596430488771	0.989266774607328	0.025153736	1.1999443	0.818592984	0.0431170000000001
18	1269264.00841985	1300418.72413378	1.81971775148733	1.79989087363834	240.94243647631	238.317229213948	0.989104421368212	0.025232488	1.1999443	0.819853012	0.0425264000000001
19	1332696.6579816	1363822.27169205	1.81760312353731	1.79830177033252	240.662446016195	238.106821626285	0.989380875860718	0.025350617	1.1999837	0.818829253	0.043944
20	1396063.65353552	1427160.48924254	1.81583405709415	1.79656117985153	240.428210141562	237.876356153794	0.98938621226575	0.025271865	1.1999837	0.818750465	0.0430382
21	1459351.52708001	1490418.37678345	1.81327985131908	1.7949041667726	240.090016725466	237.656956871579	0.989866051545705	0.025311241	1.2000624	0.818002329	0.0451645999999999
22	1522555.15461445	1553589.320314	1.81073358836172	1.79294036226721	239.752874989966	237.396936414063	0.990173471012592	0.025232488	1.1999443	0.815994152	0.0449677000000002
23	1585663.51413753	1616649.63983136	1.80709500613177	1.79016742709899	239.271103095898	237.029781807215	0.990632712184284	0.025193112	1.1999443	0.817372308	0.0455977000000001
24	1648671.79364869	1679607.88133655	1.80424637544978	1.78695760659666	238.893925911921	236.604780747654	0.990417733914632	0.025232488	1.2000231	0.818868582	0.0435108
25	1711576.78914754	1742461.44282927	1.80111541353165	1.78399357140963	238.479366240536	236.212323258475	0.990493756261601	0.025271865	1.2000624	0.815364095	0.0439045
26	1774362.39663215	1805184.70630645	1.79666076156244	1.78036869665514	237.889541418397	235.73236632309	0.990932030544747	0.025311241	1.1999837	0.813592189	0.0446526999999999
27	1837018.87210137	1867768.00576694	1.79209445837754	1.77612414371821	237.284933250916	235.17035997593	0.991088463789019	0.025193112	1.2000231	0.813040898	0.0457552999999999
28	1899536.249554	1930224.3272123	1.78832015874634	1.77264401159055	236.785191492399	234.709567903416	0.991234149501072	0.025193112	1.2000624	0.810717748	0.0464245999999999
29	1961913.53098994	1992527.91863945	1.78354944591509	1.76848420317342	236.153518161548	234.158782280493	0.991553223951164	0.025153736	1.2000624	0.814734124	0.0447313999999999
30	2024140.90240801	2054675.72804803	1.77807773199826	1.76390513948021	235.429027738929	233.552484538922	0.992029261565453	0.025232488	1.1999049	0.813513402	0.0441800999999999
31	2086203.14580639	2116651.13200251	1.77262571123701	1.75885438663963	234.707144817876	232.88373209396	0.992231115395607	0.025153736	1.2000231	0.809851424	0.0440227
32	2148090.13964171	2178445.90212027	1.76677707252362	1.7535289056084	233.932747106736	232.178603854141	0.99250150620514	0.025389994	1.2001019	0.810914616	0.0443770999999999
33	2209801.8998238	2240063.00837575	1.76090051275123	1.74807321931705	233.154652466234	231.456235593121	0.992715492248827	0.025232488	1.1999837	0.807922012	0.0422114
34	2271326.46415094	2301484.22078295	1.75457998931406	1.74209991091707	232.317774156115	230.66533080663	0.992887141952492	0.025193112	1.1999443	0.809260768	0.0433139
35	2332651.97463234	2362693.23535461	1.74714319769308	1.73626804491671	231.333094696204	229.893153911514	0.993775465691233	0.025232488	1.1999837	0.807607002	0.0425658
36	2393760.62128179	2423675.22210217	1.73953011313824	1.72896394203521	230.325072908075	228.926043301584	0.993925847547435	0.025193112	1.2000231	0.805677578	0.0430382999999999
37	2454641.8841074	2484423.78903066	1.73152812606506	1.72127660705938	229.265557903351	227.908190275985	0.994079496110192	0.025311241	1.1999837	0.803669379	0.0435108
38	2515279.54112181	2544918.91415542	1.72325823790408	1.71297756092739	228.170571056482	226.80934272458	0.994034163452372	0.025271865	1.2000231	0.801661165	0.0425263999999999
39	2575601.74638059	2605064.68155092	1.71318420588163	1.70276494137571	226.836703857217	225.4571256373	0.993918187857354	0.025271865	1.1999049	0.799692365	0.0429200999999999
40	2635485.1379794	2664721.47732536	1.69961473425933	1.68964748057717	225.040017776806	223.720288722565	0.994135580563495	0.025193112	1.2000231	0.797447908	0.0435894999999999
41	2694839.82598796	2723817.09553465	1.68457983564768	1.67468354203659	223.049299655436	221.738966174987	0.994125363843451	0.025311241	1.1999443	0.795597249	0.0453614
42	2753637.08042838	2782365.05016827	1.66947015674633	1.66019296555576	221.048680138541	219.820319835255	0.994443032627399	0.025232488	1.1999443	0.792880302	0.0449284000000001
43	2811907.7892768	2840391.31720611	1.65508443527264	1.64605437290614	219.143917282044	217.948278438416	0.994544047316225	0.025193112	1.1999837	0.790793338	0.0462670999999999
44	2869670.95851843	2897929.00062248	1.6414592114475	1.63304422180594	217.339849248262	216.225650023958	0.994873470152122	0.025193112	1.1999837	0.788036988	0.0481571999999999
45	2926957.89212917	2954993.01240594	1.62847222230067	1.62011559792364	215.620287626702	214.513816342091	0.994868426822028	0.025193112	1.2000231	0.786265058	0.0496140999999999
46	2983761.93011402	3011579.45255938	1.61496449032587	1.60731879213956	213.831776276183	212.819436231653	0.995265717461833	0.02542937	1.1999443	0.78390246	0.0487872
47	3040113.69844937	3067723.68105552	1.60293281221738	1.59535641078135	212.238704034079	211.235539328878	0.995273412972594	0.025271865	1.1999443	0.782248705	0.0471334000000001
48	3096022.05112837	3123421.42789763	1.59050987962292	1.58313637167075	210.593827159605	209.617526868024	0.995364060263544	0.025271865	1.1999837	0.780555515	0.0479603
49	3151476.91215861	3178661.8910941	1.5777510188896	1.57069033149626	208.904471220073	207.969590400034	0.995524840542769	0.025389994	1.1999443	0.778941066	0.0494172000000002
50	3206520.62150754	3233529.1625797	1.56730366997253	1.56051930335255	207.521174441911	206.622880285012	0.995671313256034	0.025311241	1.1999837	0.781303639	0.0502441
51	3261172.19716023	3279654.44883911	1.555897258124	1.06678263980439	206.010891509302	141.248942708294	0.68563822851044	0.025350617	0.47341302	0.775594073	-0.67597218
53	3297213.2835299	3321957.60270519	0.97933200004494	1.42858439569915	129.669910631571	189.153842528851	1.4587334996034	0.025035607	1.1999443	0.253661823	0.89679421
54	3348549.09597712	3374448.55327964	1.49953171025776	1.49539641268818	198.547727276764	198.00018704908	0.997242274010418	0.025074983	1.2000231	0.766301307	0.0546542999999999
55	3401185.48862428	3427165.56680943	1.50662287141705	1.50006396928175	199.486643021125	198.618201824793	0.995646619827873	0.025074983	1.2000231	0.768860737	0.0526460999999998
56	3453802.00558783	3479686.5322878	1.50163468442107	1.494521419723	198.82617469991	197.884332303608	0.995262985883406	0.025074983	1.2000231	0.769018267	0.0514254999999999
57	3506199.95705336	3531963.31574069	1.49483647968215	1.48753511992808	197.926048286283	196.959300884221	0.99511561307654	0.025074983	1.1999837	0.768545727	0.0494566000000001
58	3558218.75247934	3583757.17714321	1.48148318144977	1.47445202809191	196.157984965213	195.227014643086	0.995253976929404	0.025114359	1.2000231	0.766813221	0.0533941999999998
59	3609771.83785675	3635092.43649789	1.46878569892228	1.46185840589901	194.476755898349	193.559537358359	0.995283659809356	0.025035607	1.1998656	0.766025673	0.0534730000000001
60	3660922.6871922	3686073.82981566	1.4589414246227	1.45203811188643	193.173310112241	192.259266717833	0.995268272858826	0.025153736	1.2000624	0.764923114	0.0548905
61	3711706.8944894	3736666.51909289	1.4480673150877	1.44098334491791	191.733507459477	190.79554384878	0.995107982829264	0.024996232	1.1999443	0.765395628	0.0540636000000001
62	3762117.98774769	3786916.32833435	1.43819001208984	1.43164227140317	190.425688459429	189.55872511131	0.995447235322435	0.025035607	1.2000624	0.763663063	0.0546541999999999
63	3812187.85697038	3836815.9955393	1.42845383944789	1.42177101410143	189.136556034146	188.251706600653	0.995321637170269	0.025035607	1.1999443	0.763978073	0.0544967000000001
64	3861828.39014829	3886216.94869222	1.41468367744192	1.40790618186932	187.313297244875	186.415912859228	0.995209179493146	0.025074983	1.2000231	0.763190607	0.0559930999999998
65	3911024.25127982	3935225.68380423	1.40349094612441	1.39706299932238	185.831307000915	184.980205140335	0.995420029733872	0.024996232	1.2000624	0.762048648	0.0556779999999999
66	3959874.96637535	3983931.1848846	1.39487510028561	1.3886713387909	184.690513112957	183.869094841562	0.995552460938302	0.024996232	1.2000231	0.761458028	0.0572136999999999
67	4008375.0514343	4032233.04392288	1.38351536648379	1.3772100204666	183.186410656576	182.351541935333	0.995442518261857	0.025074983	1.2000231	0.760827997	0.0554024
68	4056563.53046075	4080307.60493745	1.37717849206722	1.37057815775578	182.347367370701	181.473440285439	0.995207350136922	0.025114359	1.1999443	0.760276731	0.0566625000000001
69	4104453.25145603	4128032.62791555	1.36696290825933	1.36111699381405	180.994757796667	180.220720796299	0.995723428624172	0.025114359	1.1999837	0.759371101	0.0559536999999999
70	4152007.65241634	4175425.69485903	1.35767603839648	1.35178398322156	179.765115974377	178.984969642047	0.995660190643212	0.025193112	1.1999049	0.758426058	0.0563867999999998
71	4199241.57534322	4222508.84177019	1.34878760230697	1.34307930245106	178.588229368682	177.832413432779	0.99576782894049	0.025074983	1.2000231	0.758189777	0.0569381
72	4246175.67823883	4269298.11665069	1.34028898532069	1.33471615902574	177.462957341369	176.725078983878	0.995842071108555	0.025193112	1.2001019	0.758150438	0.0588282999999998
73	4292755.6830975	4315682.27948893	1.32883625884447	1.32338598887418	175.946542051568	175.224890946598	0.99589846383705	0.025153736	1.1999049	0.757559794	0.0581981
74	4338997.00807868	4361781.5187948	1.32056636371155	1.31515682656091	174.851554281569	174.135296466191	0.995903623400314	0.025232488	1.2000624	0.757284112	0.0574105999999999
75	4384913.29155232	4407521.38024741	1.31072569286927	1.30494726154102	173.548585616587	172.783483818738	0.995591425910329	0.025074983	1.2000231	0.756614717	0.0575680999999999
76	4430510.26898789	4452986.71966729	1.30270992551812	1.29731472300176	172.487246013654	171.772886196857	0.995858477462499	0.025232488	1.1999049	0.755984732	0.0588280999999999
77	4475867.20039485	4498236.44106146	1.29657350792991	1.29110356366793	171.674744512401	170.950488403566	0.995781230891634	0.025232488	1.2000624	0.754764082	0.0584343999999999
78	4520967.77577124	4543199.94242152	1.288457654329	1.28317995803201	170.600152840649	169.901351609667	0.995903865152838	0.025114359	1.2001019	0.755118431	0.0582768999999999
79	4565766.96111171	4587826.78174144	1.27915703338698	1.27321214285484	169.36869028626	168.581548209843	0.995352493574304	0.025232488	1.1999443	0.755000302	0.0581981
80	4610293.11441963	4632262.33503856	1.27351157332202	1.26802683003287	168.621194746378	167.89497915033	0.995693212842312	0.025193112	1.1999837	0.754134038	0.0587494
81	4654523.15169225	4676297.55228796	1.26196437510338	1.25674663509661	167.092270784956	166.401408155791	0.995865382486457	0.025153736	1.2000231	0.752755844	0.0606000999999998
82	4698311.00491216	4719857.5234807	1.24853081908622	1.24355547013634	165.313580812475	164.654812331856	0.996015037134989	0.025114359	1.2000624	0.752283331	0.0607575
83	4741713.73408616	4763107.73263652	1.23962322762913	1.23480889983762	164.134157911834	163.496709677275	0.996116297529599	0.025153736	1.1999049	0.752243954	0.0597337
84	4784926.30323749	4806277.38978273	1.23726842755423	1.23225695208634	163.822367104168	163.158815238178	0.995949564899351	0.025232488	1.2000624	0.751259572	0.0614663
85	4827967.26636836	4849181.5628973	1.22991332890896	1.22437479398384	162.848504324258	162.115166366612	0.995496808762912	0.025074983	1.1999049	0.751613947	0.0611119
86	4870697.66146221	4891757.05197268	1.22054880179744	1.21540424532962	161.60858017841	160.92740752461	0.995785046480531	0.025232488	1.2000624	0.749920792	0.0608757
87	4913062.03451243	4933924.3469994	1.20859467810153	1.20397972309536	160.025776643698	159.414726659432	0.996181552765548	0.025153736	1.1999049	0.749566394	0.0620174999999998
88	4955138.84952836	4975905.66000396	1.20332764584829	1.19844753228182	159.328387401296	158.682228703319	0.995944484793225	0.025153736	1.1999837	0.749093854	0.0613087999999999
89	4996893.86250594	5017451.41695658	1.19088015945367	1.1863199137114	157.680259444379	157.076453321602	0.996170692990332	0.025232488	1.2000231	0.748267002	0.0617026999999999
90	5038235.1974342	5058584.70586004	1.1791995337123	1.1742932345695	156.13366881328	155.484042975108	0.995839296910715	0.025193112	1.2000231	0.748463848	0.061742
91	5079215.2623194	5099421.08672811	1.17058268010067	1.16599193817727	154.992741489662	154.384897474647	0.996078242057191	0.025153736	1.1999443	0.747558194	0.0620964000000002
92	5119838.009162	5139834.32754574	1.15872948448766	1.1538626624764	153.423301487939	152.778902678107	0.99579986349151	0.025311241	1.1999837	0.747243219	0.0634352
93	5160049.97395562	5179848.27631576	1.14746210283931	1.14239518438983	151.93142705585	151.260534179388	0.995584238959228	0.025193112	1.2000231	0.746967538	0.0636714999999999
94	5199893.00070528	5219528.28904598	1.13792923889302	1.13297092202356	150.669214020923	150.012700698254	0.995642684360336	0.025153736	1.2000231	0.746140674	0.0627263999999998
95	5239348.41140872	5258769.78972392	1.12542409832251	1.1206354825343	149.013452277062	148.379408478557	0.995745056645448	0.025114359	1.1999443	0.745983181	0.0641046000000001
96	5278399.48206396	5297640.76835769	1.11440770556525	1.11016880256913	147.554810402549	146.993552144208	0.996196272715137	0.025114359	1.2000624	0.745628771	0.0646164
97	5317180.53068701	5336328.87096966	1.10950736644941	1.10480951678952	146.905973710614	146.283947936381	0.995765823822402	0.025153736	1.2001019	0.744998774	0.0637502999999999
98	5355685.76127718	5374666.89753991	1.09902694471637	1.09511083023805	145.518297877043	144.999778912685	0.996436743887721	0.025232488	1.1998656	0.744920022	0.0657584
99	5393908.514699	5412776.11007926	1.0925389911185	1.08858691123305	144.659250727375	144.135969709772	0.996382664675973	0.025153736	1.1999049	0.745077514	0.0644194999999999
100	5431873.12528179	5450603.37876849	1.08422060984716	1.08064221353641	143.557843078075	143.08404019019	0.996699568078443	0.025232488	1.1999837	0.745274372	0.0634352
101	5469540.59809478	5488112.48370425	1.07510554838804	1.07141298352736	142.350949803117	141.862030258505	0.996565393168869	0.025114359	1.1999837	0.744211191	0.0662701999999999
102	5506889.8751544	5525309.52888175	1.06619117297276	1.06261223128411	141.170628662398	140.696753562941	0.996643245808656	0.025232488	1.2000624	0.743974992	0.0643407999999999
103	5543917.75246303	5562159.52432821	1.05660951762247	1.05233673999238	139.901955329026	139.336211849372	0.995956143155227	0.025114359	1.1999837	0.744289991	0.0643015
104	5580578.77205589	5598641.32205993	1.04602568356311	1.04190845194966	138.50058703252	137.955438854639	0.996063928756103	0.025193112	1.1999837	0.743384348	0.0644195999999999
105	5616992.24184062	5634994.54589133	1.04172847417586	1.03850923572631	137.931608629707	137.505360572832	0.99690971445117	0.025193112	1.2000231	0.743226808	0.0646952999999999
